2020-03-09 11:18:18,650 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource 123 - HikariPool-1 - Start completed.
2020-03-09 11:18:18,667 [restartedMain] INFO  org.hibernate.dialect.Dialect 172 - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-03-09 11:18:19,339 [restartedMain] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator 52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-03-09 11:18:19,343 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean 416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-03-09 11:18:19,570 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration 220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-03-09 11:18:19,676 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer 58 - LiveReload server is running on port 35729
2020-03-09 11:18:19,911 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain 43 - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6882b937, org.springframework.security.web.context.SecurityContextPersistenceFilter@6fdf9850, org.springframework.security.web.header.HeaderWriterFilter@43b587c6, org.springframework.web.filter.CorsFilter@d53608a, org.springframework.security.web.authentication.logout.LogoutFilter@3846944, com.darwin.config.JwtRequestFilter@4c8b20d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@72de16ad, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@55fc7a34, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@20cd41ea, org.springframework.security.web.session.SessionManagementFilter@6d44844c, org.springframework.security.web.access.ExceptionTranslationFilter@71ca46c5, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@472a34ee]
2020-03-09 11:18:20,172 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor 171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-09 11:18:20,385 [restartedMain] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver 58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-03-09 11:18:20,440 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2020-03-09 11:18:20,458 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-09 11:18:20,461 [restartedMain] INFO  com.darwin.VotingSystemApplication 61 - Started VotingSystemApplication in 4.326 seconds (JVM running for 5.128)
2020-03-09 12:29:20,109 [Thread-5] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor 208 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-03-09 12:29:20,113 [Thread-5] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean 598 - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-03-09 12:29:20,118 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource 350 - HikariPool-1 - Shutdown initiated...
2020-03-09 12:29:20,128 [Thread-5] INFO  com.zaxxer.hikari.HikariDataSource 352 - HikariPool-1 - Shutdown completed.
2020-03-09 12:29:20,482 [restartedMain] INFO  com.darwin.VotingSystemApplication 55 - Starting VotingSystemApplication on LAPTOP-1BIGBJBB with PID 18312 (D:\Users\darwi\sts-workspace\VotingSystem\target\classes started by darwi in D:\Users\darwi\sts-workspace\VotingSystem)
2020-03-09 12:29:20,483 [restartedMain] INFO  com.darwin.VotingSystemApplication 651 - No active profile set, falling back to default profiles: default
2020-03-09 12:29:20,722 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 127 - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-03-09 12:29:20,742 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate 187 - Finished Spring Data repository scanning in 20ms. Found 9 JPA repository interfaces.
2020-03-09 12:29:20,791 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-09 12:29:20,796 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration' of type [org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-09 12:29:20,797 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'objectPostProcessor' of type [org.springframework.security.config.annotation.configuration.AutowireBeanFactoryObjectPostProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-09 12:29:20,797 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@3c782019' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-09 12:29:20,797 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-09 12:29:20,798 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-09 12:29:20,906 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 92 - Tomcat initialized with port(s): 8080 (http)
2020-03-09 12:29:20,906 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2020-03-09 12:29:20,906 [restartedMain] INFO  org.apache.catalina.core.StandardService 173 - Starting service [Tomcat]
2020-03-09 12:29:20,906 [restartedMain] INFO  org.apache.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-03-09 12:29:20,925 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
