2020-03-13 22:16:41,662 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration' of type [org.springframework.security.config.annotation.method.configuration.GlobalMethodSecurityConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-13 22:16:41,666 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-13 22:16:41,934 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 92 - Tomcat initialized with port(s): 8080 (http)
2020-03-13 22:16:41,940 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8080"]
2020-03-13 22:16:41,940 [restartedMain] INFO  org.apache.catalina.core.StandardService 173 - Starting service [Tomcat]
2020-03-13 22:16:41,940 [restartedMain] INFO  org.apache.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-03-13 22:16:42,016 [restartedMain] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2020-03-13 22:16:42,016 [restartedMain] INFO  org.springframework.web.context.ContextLoader 284 - Root WebApplicationContext: initialization completed in 1301 ms
2020-03-13 22:16:42,306 [restartedMain] INFO  org.hibernate.jpa.internal.util.LogHelper 31 - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-03-13 22:16:42,352 [restartedMain] INFO  org.hibernate.Version 46 - HHH000412: Hibernate Core {5.4.10.Final}
2020-03-13 22:16:42,436 [restartedMain] INFO  org.hibernate.annotations.common.Version 49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-03-13 22:16:42,504 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource 110 - HikariPool-1 - Starting...
2020-03-13 22:16:42,954 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource 123 - HikariPool-1 - Start completed.
2020-03-13 22:16:42,967 [restartedMain] INFO  org.hibernate.dialect.Dialect 172 - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2020-03-13 22:16:43,750 [restartedMain] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator 52 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-03-13 22:16:43,758 [restartedMain] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean 416 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-03-13 22:16:44,053 [restartedMain] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration 220 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-03-13 22:16:44,192 [restartedMain] INFO  org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer 58 - LiveReload server is running on port 35729
2020-03-13 22:16:44,460 [restartedMain] INFO  org.springframework.security.web.DefaultSecurityFilterChain 43 - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7cc72b5, org.springframework.security.web.context.SecurityContextPersistenceFilter@6d920680, org.springframework.security.web.header.HeaderWriterFilter@598e3dfd, org.springframework.web.filter.CorsFilter@74ed9979, org.springframework.security.web.authentication.logout.LogoutFilter@c964163, com.darwin.config.JwtRequestFilter@6a5f90f0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f6e419a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@94a8990, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1b17d876, org.springframework.security.web.session.SessionManagementFilter@384cf993, org.springframework.security.web.access.ExceptionTranslationFilter@48564ff6, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@bb0b9cc]
2020-03-13 22:16:44,590 [restartedMain] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor 171 - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-13 22:16:45,005 [restartedMain] INFO  org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver 58 - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-03-13 22:16:45,044 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8080"]
2020-03-13 22:16:45,068 [restartedMain] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8080 (http) with context path ''
2020-03-13 22:16:45,070 [restartedMain] INFO  com.darwin.VotingSystemApplication 61 - Started VotingSystemApplication in 4.659 seconds (JVM running for 5.406)
